date	power	latitude	longitude
06.4.30 9:50	2.5	37.05 N	129.84 E
06.4.29 11:01	3.5	37.09 N	129.92 E
06.4.29 1:01	2.5	37.07 N	129.81 E
06.4.28 23:54	2.5	37.12 N	129.93 E
06.4.28 23:47	3	37.09 N	129.92 E
06.4.19 16:18	2.1	37.01 N	129.82 E
06.4.19 16:01	2.4	37.1 N	129.92 E
06.4.19 10:57	2.5	37.1 N	129.91 E
06.4.19 9:49	3	37.05 N	129.96 E
06.4.19 9:35	2.4	37.07 N	129.93 E
06.4.13 1:09	2.8	34.74 N	125.01 E
06.4.3 18:14	3.3	38.68 N	125.96 E
06.4.2 0:04	2	35.38 N	127.22 E
06.3.26 7:54	2.4	35.66 N	126.26 E
06.3.23 7:42	2.5	38.32 N	127.3 E
06.3.19 14:03	2	36.33 N	127.34 E
06.3.19 13:59	2.9	36.34 N	127.36 E
06.3.15 4:36	2.4	38.19 N	125.94 E
06.3.11 4:52	2.1	37.13 N	126.0 E
06.3.10 5:57	2.5	33.3 N	127.15 E
06.2.28 18:52	2.3	36.22 N	127.66 E
06.2.28 0:11	2.3	35.81 N	127.89 E
06.2.14 3:32	3	38.67 N	126.03 E
06.1.21 11:29	2.1	36.33 N	127.26 E
06.1.19 22:53	2	37.19 N	128.77 E
06.1.19 12:35	3.2	37.21 N	128.8 E
05.12.25 3:58	2.4	34.74 N	127.22 E
05.12.18 0:00	2.2	34.64 N	127.61 E
05.12.7 18:02	2.2	36.63 N	127.77 E
05.11.27 11:47	3.1	38.35 N	123.99 E
05.11.15 9:10	3	37.2 N	128.79 E
05.11.6 12:52	2.2	35.98 N	128.13 E
05.10.23 1:02	2.5	34.97 N	127.07 E
05.10.21 12:00	3	37.89 N	125.01 E
05.10.13 11:22	2.5	36.95 N	129.43 E
05.10.10 8:51	3.4	37.93 N	124.9 E
05.10.3 19:18	2.1	35.62 N	129.4 E
05.9.7 17:11	2.1	37.09 N	127.86 E
05.8.31 12:58	2.1	37.12 N	129.7 E
05.8.25 19:33	2.2	36.75 N	126.3 E
05.8.24 5:06	3.5	34.06 N	126.95 E
05.7.30 3:01	3.1	34.14 N	127.47 E
05.6.30 0:25	3.1	36.66 N	129.63 E
05.6.29 23:18	4	34.5 N	129.05 E
05.6.20 15:31	3	38.81 N	125.57 E
05.6.15 7:37	3	33.0 N	126.15 E
05.6.15 7:07	3.7	33.15 N	126.14 E
05.6.10 21:14	2.5	36.78 N	128.48 E
05.6.10 12:49	2.4	36.73 N	128.48 E
05.6.8 0:07	2.5	37.51 N	124.76 E
05.5.15 7:22	2.6	38.13 N	125.6 E
05.5.1 16:27	3.6	35.04 N	123.0 E
05.4.21 12:37	3	34.91 N	125.47 E
05.4.9 23:04	2.4	35.67 N	130.03 E
05.4.9 19:13	2.4	37.17 N	125.41 E
05.4.1 0:15	2.4	33.56 N	126.97 E
05.3.31 19:32	2.2	36.43 N	125.57 E
05.3.17 23:39	3.1	32.47 N	125.85 E
05.3.12 11:56	2.4	38.82 N	127.14 E
05.2.20 22:18	3.4	35.4 N	126.22 E
05.2.7 20:16	2.8	36.59 N	130.02 E
05.2.5 11:27	2.5	33.49 N	126.36 E
05.2.3 7:48	2.4	38.95 N	130.39 E
04.12.12 3:00	2.1	33.6 N	127.7 E
04.12.10 19:41	2.3	32.9 N	125.8 E
04.11.30 13:51	2.5	33.2 N	125.7 E
04.11.28 13:15	2.4	37.6 N	129.5 E
04.11.5 1:25	2	37.1 N	126.1 E
04.10.20 14:12	2.7	34.4 N	125.5 E
04.10.14 3:02	2.7	33.7 N	127.3 E
04.10.11 19:19	2.2	38.0 N	125.4 E
04.10.4 6:24	2	35.5 N	128.3 E
04.9.27 18:47	2.5	35.5 N	128.3 E
04.9.24 1:40	2.5	33.4 N	127.1 E
04.9.15 7:47	2.5	37.5 N	126.9 E
04.8.13 22:42	2.7	37.6 N	126.5 E
04.8.11 4:29	2.3	33.3 N	126.2 E
04.8.6 5:32	3.3	35.9 N	127.4 E
04.7.14 20:37	2.1	36.4 N	127.3 E
04.7.14 13:44	2.6	33.4 N	127.2 E
04.7.13 21:08	2.1	38.5 N	126.0 E
04.6.11 16:25	2.1	37.3 N	128.7 E
04.6.1 20:22	3.5	37.2 N	130.0 E
04.5.30 21:45	2.2	37.0 N	129.3 E
04.5.30 4:45	2	36.6 N	130.0 E
04.5.29 19:14	5.2	36.8 N	130.2 E
04.5.25 18:08	2.7	39.5 N	124.9 E
04.5.17 15:05	2.1	36.4 N	125.9 E
04.5.6 23:10	2	37.5 N	129.9 E
04.5.5 12:22	3.1	32.7 N	126.0 E
04.5.5 2:15	2.2	33.4 N	127.3 E
04.5.5 1:07	2.2	33.4 N	127.3 E
04.4.30 23:43	2.8	35.8 N	129.4 E
04.4.29 17:31	2.9	37.4 N	123.8 E
04.4.26 13:29	3.9	35.8 N	128.2 E
04.4.15 23:25	2	34.9 N	124.6 E
